Category,ID,Latitude,Longitude,Date,elev,cirrus_flag,cloud_flag,water_flag
ADOBE C A SODA BAY RD NR FINLEY CA,3.90054E14,39.01506667,-122.8707722,2022-08-13 23:23:31 UTC,379.0801717,0.0,0.0,0.0
ADOBE C A SODA BAY RD NR FINLEY CA,3.90054E14,39.01506667,-122.8707722,2023-04-15 22:23:21 UTC,380.0022686,0.0,0.0,0.0
ADOBE C A SODA BAY RD NR FINLEY CA,3.90054E14,39.01506667,-122.8707722,2023-06-22 19:31:38 UTC,378.6634467,0.0,0.0,0.0
ADOBE C A SODA BAY RD NR FINLEY CA,3.90054E14,39.01506667,-122.8707722,2023-07-26 23:17:51 UTC,378.5472339,0.0,0.0,0.0
ADOBE C A SODA BAY RD NR FINLEY CA,3.90054E14,39.01506667,-122.8707722,2023-07-30 21:41:31 UTC,379.1689503,0.0,0.0,0.0
ADOBE C A SODA BAY RD NR FINLEY CA,3.90054E14,39.01506667,-122.8707722,2023-08-22 19:25:07 UTC,379.1120668,0.0,0.0,0.0
ADOBE C A SODA BAY RD NR FINLEY CA,3.90054E14,39.01506667,-122.8707722,2024-02-18 20:07:25 UTC,378.5578594,0.0,0.0,1.0
ADOBE C A SODA BAY RD NR FINLEY CA,3.90054E14,39.01506667,-122.8707722,2024-06-10 16:43:58 UTC,378.6582597,0.0,0.0,0.0
ADOBE C A SODA BAY RD NR FINLEY CA,3.90054E14,39.01506667,-122.8707722,2024-08-10 23:11:08 UTC,378.5718973,0.0,0.0,0.0
ADOBE C NR HIGHLAND SPRINGS CA,3.85725E14,38.95701667,-122.8911167,2022-08-13 23:23:31 UTC,396.3703898,0.0,0.0,0.0
ADOBE C NR HIGHLAND SPRINGS CA,3.85725E14,38.95701667,-122.8911167,2023-06-22 19:31:38 UTC,397.7030575,0.0,0.0,0.0
ADOBE C NR HIGHLAND SPRINGS CA,3.85725E14,38.95701667,-122.8911167,2023-07-26 23:17:51 UTC,396.8628028,0.0,0.0,0.0
ADOBE C NR HIGHLAND SPRINGS CA,3.85725E14,38.95701667,-122.8911167,2023-07-30 21:41:31 UTC,396.4668297,0.0,0.0,0.0
ADOBE C NR HIGHLAND SPRINGS CA,3.85725E14,38.95701667,-122.8911167,2023-08-22 19:25:07 UTC,397.4063277,0.0,0.0,0.0
ADOBE C NR HIGHLAND SPRINGS CA,3.85725E14,38.95701667,-122.8911167,2024-02-18 20:07:25 UTC,397.1214132,0.0,0.0,1.0
ADOBE C NR HIGHLAND SPRINGS CA,3.85725E14,38.95701667,-122.8911167,2024-06-10 16:43:58 UTC,397.2588396,0.0,0.0,0.0
ADOBE C NR HIGHLAND SPRINGS CA,3.85725E14,38.95701667,-122.8911167,2024-08-10 23:11:08 UTC,397.2276299,0.0,0.0,0.0
ANACOSTIA RIVER AT ANACOSTIA PARK BOAT RAMP,1651812,38.87991667,-76.9708333,2023-06-03 17:19:53 UTC,-33.2722754,0.0,0.0,0.0
ANACOSTIA RIVER AT ANACOSTIA PARK BOAT RAMP,1651812,38.87991667,-76.9708333,2023-06-14 19:41:31 UTC,-33.2717216,0.0,0.0,1.0
ANACOSTIA RIVER AT ANACOSTIA PARK BOAT RAMP,1651812,38.87991667,-76.9708333,2023-08-14 19:28:26 UTC,-33.2706076,0.0,1.0,0.0
ANACOSTIA RIVER AT ANACOSTIA PARK BOAT RAMP,1651812,38.87991667,-76.9708333,2024-02-14 18:38:21 UTC,-33.2711079,0.0,0.0,1.0
ANACOSTIA RIVER AT ANACOSTIA PARK BOAT RAMP,1651812,38.87991667,-76.9708333,2024-04-23 15:26:34 UTC,-33.2706477,0.0,0.0,1.0
ANACOSTIA RIVER AT ANACOSTIA PARK BOAT RAMP,1651812,38.87991667,-76.9708333,2024-06-10 13:38:03 UTC,-33.2709513,0.0,0.0,0.0
ARROYO HONDO NR SAN JOSE CA,11173200,37.46160337,-121.769397,2022-08-10 17:42:13 UTC,218.7301858,0.0,0.0,0.0
ARROYO HONDO NR SAN JOSE CA,11173200,37.46160337,-121.769397,2023-03-27 23:01:16 UTC,215.5429579,0.0,0.0,0.0
ARROYO HONDO NR SAN JOSE CA,11173200,37.46160337,-121.769397,2023-03-31 21:25:51 UTC,229.5539547,0.0,0.0,0.0
ARROYO HONDO NR SAN JOSE CA,11173200,37.46160337,-121.769397,2023-04-04 19:51:19 UTC,219.0419756,0.0,0.0,0.0
ARROYO HONDO NR SAN JOSE CA,11173200,37.46160337,-121.769397,2023-06-14 22:47:51 UTC,220.0501127,0.0,0.0,0.0
ARROYO HONDO NR SAN JOSE CA,11173200,37.46160337,-121.769397,2023-08-14 22:34:53 UTC,217.2080295,0.0,0.0,0.0
ARROYO HONDO NR SAN JOSE CA,11173200,37.46160337,-121.769397,2023-08-18 21:00:19 UTC,218.1876388,0.0,0.0,0.0
ARROYO HONDO NR SAN JOSE CA,11173200,37.46160337,-121.769397,2023-09-26 22:33:56 UTC,216.1580493,0.0,0.0,0.0
ARROYO HONDO NR SAN JOSE CA,11173200,37.46160337,-121.769397,2023-10-04 19:22:18 UTC,222.6908919,0.0,0.0,0.0
ARROYO HONDO NR SAN JOSE CA,11173200,37.46160337,-121.769397,2024-04-01 20:10:09 UTC,218.1176942,0.0,0.0,0.0
ARROYO HONDO NR SAN JOSE CA,11173200,37.46160337,-121.769397,2024-04-05 18:33:43 UTC,228.7767601,0.0,0.0,1.0
ARROYO HONDO NR SAN JOSE CA,11173200,37.46160337,-121.769397,2024-08-03 19:04:15 UTC,218.7765532,0.0,0.0,0.0
ARROYO HONDO NR SAN JOSE CA,11173200,37.46160337,-121.769397,2024-08-07 17:28:38 UTC,235.0925789,0.0,0.0,0.0
ARROYO HONDO NR SAN JOSE CA,11173200,37.46160337,-121.769397,2024-09-30 20:03:54 UTC,230.0480598,0.0,0.0,0.0
Alum Fork Saline River at Winona Dam at Reform,7362591,34.79777778,-92.8455556,2024-02-18 18:36:23 UTC,198.2480678,0.0,0.0,1.0
Ash River Boat Docks on Kabetogama Lake,4.82603E14,48.43416667,-92.855,2024-04-06 17:51:44 UTC,318.4719889,0.0,0.0,0.0
Ash River Boat Docks on Kabetogama Lake,4.82603E14,48.43416667,-92.855,2024-06-03 22:34:32 UTC,316.1920969,0.0,0.0,0.0
Ash River Boat Docks on Kabetogama Lake,4.82603E14,48.43416667,-92.855,2024-08-04 18:22:35 UTC,320.4083655,0.0,0.0,0.0
Ash River Boat Docks on Kabetogama Lake,4.82603E14,48.43416667,-92.855,2024-08-11 19:12:55 UTC,316.6640887,0.0,0.0,0.0
Atlantic Oc in Deal Lk surge chmbr at Asbury Pk NJ,4.0135E14,40.2305,-73.99675,2024-04-20 16:17:04 UTC,-29.5591817,0.0,0.0,1.0
Atlantic Oc in Deal Lk surge chmbr at Asbury Pk NJ,4.0135E14,40.2305,-73.99675,2024-04-24 14:37:48 UTC,-31.1929552,0.0,0.0,0.0
Atlantic Oc in Deal Lk surge chmbr at Asbury Pk NJ,4.0135E14,40.2305,-73.99675,2024-06-22 15:19:28 UTC,-33.4883724,0.0,0.0,0.0
Atlantic Oc in Deal Lk surge chmbr at Asbury Pk NJ,4.0135E14,40.2305,-73.99675,2024-06-26 13:43:41 UTC,-33.4884491,0.0,0.0,0.0
BEAR LAKE 0.13 MI S OF UT-ID BORDER NR FISH HAVEN,4.15955E14,41.9985722,-111.3567167,2023-07-31 20:55:18 UTC,1790.6752472,0.0,0.0,1.0
BEAR LAKE 0.13 MI S OF UT-ID BORDER NR FISH HAVEN,4.15955E14,41.9985722,-111.3567167,2024-08-09 22:23:52 UTC,1790.6765964,0.0,0.0,1.0
BEAR LAKE 2.8 MI S OF N BEACH SP NR LIFTON,4.20446E14,42.07952778,-111.3087778,2023-07-31 20:55:18 UTC,1791.0397835,0.0,0.0,1.0
BEAR LAKE 2.8 MI S OF N BEACH SP NR LIFTON,4.20446E14,42.07952778,-111.3087778,2024-08-09 22:23:52 UTC,1791.0409764,0.0,0.0,1.0
BETHANY LAKE NEAR BETHANY,142063398,45.55631389,-122.8737194,2023-06-01 22:04:19 UTC,30.5697289,0.0,0.0,0.0
BETHANY LAKE NEAR BETHANY,142063398,45.55631389,-122.8737194,2023-10-05 20:11:59 UTC,30.6096844,0.0,0.0,0.0
BETHANY LAKE NEAR BETHANY,142063398,45.55631389,-122.8737194,2024-04-06 19:23:15 UTC,29.3512439,0.0,0.0,1.0
BETHANY LAKE NEAR BETHANY,142063398,45.55631389,-122.8737194,2024-04-14 21:00:35 UTC,30.6161515,0.0,0.0,0.0
BETHANY LAKE NEAR BETHANY,142063398,45.55631389,-122.8737194,2024-08-16 19:56:13 UTC,30.6368225,0.0,0.0,1.0
BLUE MESA RES WEST OF DRY GULCH NEAR SAPINERO,3.82847E14,38.47975,-107.2012222,2023-04-25 17:35:08 UTC,2273.5659585,0.0,0.0,1.0
BLUE MESA RES WEST OF DRY GULCH NEAR SAPINERO,3.82847E14,38.47975,-107.2012222,2023-06-02 19:40:27 UTC,2273.565126,1.0,0.0,0.0
BLUE MESA RES WEST OF DRY GULCH NEAR SAPINERO,3.82847E14,38.47975,-107.2012222,2023-06-13 22:02:30 UTC,2273.5653342,0.0,0.0,0.0
BLUE MESA RES WEST OF DRY GULCH NEAR SAPINERO,3.82847E14,38.47975,-107.2012222,2023-10-06 17:48:37 UTC,2273.5656298,0.0,0.0,1.0
BLUE MESA RES WEST OF DRY GULCH NEAR SAPINERO,3.82847E14,38.47975,-107.2012222,2023-10-10 16:11:56 UTC,2273.5664514,0.0,0.0,1.0
BLUE MESA RES WEST OF DRY GULCH NEAR SAPINERO,3.82847E14,38.47975,-107.2012222,2023-10-17 20:15:35 UTC,2273.5656179,0.0,0.0,1.0
BLUE MESA RES WEST OF DRY GULCH NEAR SAPINERO,3.82847E14,38.47975,-107.2012222,2023-10-21 18:39:53 UTC,2273.5659531,0.0,0.0,1.0
BLUE MESA RES WEST OF DRY GULCH NEAR SAPINERO,3.82847E14,38.47975,-107.2012222,2023-10-25 17:04:42 UTC,2273.5649011,0.0,0.0,1.0
BLUE MESA RES WEST OF DRY GULCH NEAR SAPINERO,3.82847E14,38.47975,-107.2012222,2024-04-07 16:59:44 UTC,2273.5671625,0.0,0.0,1.0
BLUE MESA RES WEST OF DRY GULCH NEAR SAPINERO,3.82847E14,38.47975,-107.2012222,2024-04-18 19:26:16 UTC,2273.5652966,0.0,0.0,1.0
BLUE MESA RES WEST OF DRY GULCH NEAR SAPINERO,3.82847E14,38.47975,-107.2012222,2024-04-22 17:47:29 UTC,2273.5646914,0.0,0.0,1.0
BLUE MESA RES WEST OF DRY GULCH NEAR SAPINERO,3.82847E14,38.47975,-107.2012222,2024-06-24 16:51:33 UTC,2273.5663856,0.0,0.0,1.0
BLUE MESA RES WEST OF DRY GULCH NEAR SAPINERO,3.82847E14,38.47975,-107.2012222,2024-08-24 16:44:04 UTC,2273.5658927,0.0,0.0,1.0
BLUE MESA RESERVOIR IN IOLA BASIN NR GUNNISON CO,3.82852E14,38.4807111,-107.0901806,2023-04-25 17:35:08 UTC,2273.8025193,0.0,0.0,1.0
BLUE MESA RESERVOIR IN IOLA BASIN NR GUNNISON CO,3.82852E14,38.4807111,-107.0901806,2023-06-02 19:40:27 UTC,2273.8017629,1.0,0.0,0.0
BLUE MESA RESERVOIR IN IOLA BASIN NR GUNNISON CO,3.82852E14,38.4807111,-107.0901806,2023-06-06 18:01:52 UTC,2273.8027751,0.0,0.0,1.0
BLUE MESA RESERVOIR IN IOLA BASIN NR GUNNISON CO,3.82852E14,38.4807111,-107.0901806,2023-06-13 22:02:30 UTC,2273.8025499,0.0,0.0,0.0
BLUE MESA RESERVOIR IN IOLA BASIN NR GUNNISON CO,3.82852E14,38.4807111,-107.0901806,2023-10-06 17:48:37 UTC,2273.8023047,0.0,0.0,1.0
BLUE MESA RESERVOIR IN IOLA BASIN NR GUNNISON CO,3.82852E14,38.4807111,-107.0901806,2023-10-10 16:11:56 UTC,2273.8021271,0.0,0.0,1.0
BLUE MESA RESERVOIR IN IOLA BASIN NR GUNNISON CO,3.82852E14,38.4807111,-107.0901806,2023-10-21 18:39:53 UTC,2273.8023897,0.0,0.0,1.0
BLUE MESA RESERVOIR IN IOLA BASIN NR GUNNISON CO,3.82852E14,38.4807111,-107.0901806,2023-10-25 17:04:42 UTC,2273.8023296,0.0,0.0,1.0
BLUE MESA RESERVOIR IN IOLA BASIN NR GUNNISON CO,3.82852E14,38.4807111,-107.0901806,2024-04-18 19:26:16 UTC,2273.8019488,0.0,0.0,1.0
BLUE MESA RESERVOIR IN IOLA BASIN NR GUNNISON CO,3.82852E14,38.4807111,-107.0901806,2024-04-22 17:47:29 UTC,2273.8023578,0.0,0.0,1.0
BLUE MESA RESERVOIR IN IOLA BASIN NR GUNNISON CO,3.82852E14,38.4807111,-107.0901806,2024-06-24 16:51:33 UTC,2273.8024939,0.0,0.0,1.0
BLUE MESA RESERVOIR IN IOLA BASIN NR GUNNISON CO,3.82852E14,38.4807111,-107.0901806,2024-08-24 16:44:04 UTC,2273.8017429,0.0,0.0,1.0
BLUE RIVER AT BLUE RIVER,14162200,44.16234819,-122.3331192,2023-08-12 22:32:34 UTC,340.555208,0.0,0.0,0.0
BLUE RIVER AT BLUE RIVER,14162200,44.16234819,-122.3331192,2024-03-26 23:22:56 UTC,319.262379,0.0,0.0,1.0
BLUE RIVER AT BLUE RIVER,14162200,44.16234819,-122.3331192,2024-03-30 21:47:23 UTC,317.5975989,0.0,0.0,0.0
BLUE RIVER AT BLUE RIVER,14162200,44.16234819,-122.3331192,2024-04-21 18:32:59 UTC,350.6937352,0.0,0.0,0.0
BLUE RIVER AT BLUE RIVER,14162200,44.16234819,-122.3331192,2024-08-01 20:41:02 UTC,311.9632803,0.0,0.0,0.0
