site_no,station_nm,dec_lat_va,dec_long_va
072632996,"Lk Maumelle Raw Water Intake nr Natural Steps,AR",34.85194444,-92.4891667
07362591,"Alum Fork Saline River at Winona Dam at Reform, AR",34.79777778,-92.8455556
11173200,ARROYO HONDO NR SAN JOSE CA,37.46160337,-121.769397
11273400,SAN JOAQUIN R AB MERCED R NR NEWMAN CA,37.3472151,-120.9761777
11312676,MIDDLE R AT MIDDLE RIVER CA,37.94226944,-121.5337
11313405,OLD R A BACON ISLAND CA,37.96992306,-121.572174
11336600,DELTA CROSS CHANNEL NR WALNUT GROVE,38.2447222,-121.5052778
11336790,LITTLE POTATO SLOUGH A TERMINOUS CA,38.09638889,-121.496111
11337190,SAN JOAQUIN R A JERSEY POINT CA,38.0521424,-121.6888428
11447650,SACRAMENTO R A FREEPORT CA,38.45566389,-121.5016167
11447890,SACRAMENTO R AB DELTA CROSS CHANNEL CA,38.25769218,-121.5182865
11448750,SF SCOTTS C NR LAKEPORT CA,39.04027778,-122.9833056
11448800,SCOTTS C BL SF SCOTTS C NR LAKEPORT CA,39.04194444,-122.9808333
11449235,CLOVER C BYPASS A ELK MTN RD NR UPPER LAKE CA,39.17577778,-122.9028889
11449255,SCOTTS C AB STATE ROUTE 29 A UPPER LAKE CA,39.1576361,-122.9207333
11449370,MOLESWORTH C NR CLEARLAKE CA,38.93894444,-122.6288889
11449500,KELSEY C NR KELSEYVILLE CA,38.92739984,-122.8436046
11449820,COLE C A KELSEYVILLE CA,38.97932778,-122.8305778
11451800,CACHE C A RUMSEY CA,38.8898988,-122.2383082
11452500,CACHE C A YOLO CA,38.727126,-121.8071874
11452800,CACHE C OVERFLOW WEIR FROM SETTLING BAS NR WOOD'LD,38.68268185,-121.6730164
11452900,CACHE C OUTFLOW FROM SETTLING BASIN NR WOODLAND CA,38.67851526,-121.6727386
11453590,POPE C A WALTER SPRINGS CA,38.6469722,-122.365825
11455140,TOE DRAIN A LIBERTY ISLAND NR COURTLAND CA,38.34916667,-121.6447222
11455142,SACRAMENTO R DEEP WATER SHIP CHANNEL NR COURTLAND,38.34166667,-121.6438889
11455276,SHAG SLOUGH A LIBERTY ISLAND NR COURTLAND CA,38.3078583,-121.6924278
11455315,CACHE SLOUGH A S LIBERTY ISLAND NR RIO VISTA CA,38.2430111,-121.684286
11455338,SACRAMENTO R DEEP WATER SHIP CHANNEL MARKER 51 CA,38.23739167,-121.6739556
11455385,CACHE SLOUGH AB RYER ISLAND FERRY NR RIO VISTA CA,38.19395556,-121.6580028
11455478,SACRAMENTO R A DECKER ISLAND NR RIO VISTA CA,38.093252,-121.7371772
11455508,SUISUN BAY A VAN SICKLE ISLAND NR PITTSBURG CA,38.04953056,-121.88755
374938122251801,SAN FRANCISCO BAY A NE SHORE ALCATRAZ ISLAND CA,37.8272222,-122.4216667
380631122032201,GRIZZLY BAY A SUISUN SLOUGH NR AVON CA,38.10853056,-122.0559806
380924121301901,STATEN ISLAND NR TERMINOUS CA,38.15665,-121.5051889
381142122015801,FIRST MALLARD BRANCH NR FAIRFIELD CA,38.19489444,-122.0328139
383653122204601,MAXWELL C NR POPE VALLEY CA,38.61460278,-122.3459917
384115121402501,CACHE C OVERFLOW WEIR AT N ABUTMENT NR WOODLAND CA,38.6875,-121.673611
385725122532801,ADOBE C NR HIGHLAND SPRINGS CA,38.95701667,-122.8911167
385741122402101,CLEAR LK A MOORING LA-12 NR CLEARLAKE PARK CA,38.961425,-122.672636
385859122430101,CLEAR LK A MOORING LA-03 NR CLEARLAKE PARK CA,38.98299444,-122.716986
390005122441301,CLEAR LK A MOORING LA-11 NR BUCKINGHAM PARK CA,39.00130556,-122.7368778
390009122400201,HERMAN IMPOUNDMENT NR CLEARLAKE OAKS CA,39.00251389,-122.6671222
390010122401401,CLEAR LK A SULPHUR BANK MINE NR CLEARLAKE OAKS CA,39.00265278,-122.6705306
390015122394801,HERMAN IMPOUNDMENT CL23-01 NR CLEARLAKE OAKS CA,39.0041,-122.6634306
390015122395001,HERMAN IMPOUNDMENT CL23-06 NR CLEARLAKE OAKS CA,39.00405,-122.6638194
390021122400501,NORTH PIT NR ELEM RD NR CLEARLAKE OAKS CA,39.00578889,-122.6679694
